path	change_type	classification	sha256	note
CHANGELOG.md	A	documentation	a9ad6a92c18a12f6eca5024a6fa9be6cfdc4f503ba0ebf5bb238113d690794f9	Curated release-candidate file
data/processed/README.md	A	documentation	4c1fa67e50be3bd8ec4ac7f1de3e5b3adae11eaa8ac7f38379945807a8602946	Curated release-candidate file
data/processed/pca/README.md	A	documentation	f144b3ed9ade299334b43224236276b383bd3e2cfe639839917720f6fce29f8a	Curated release-candidate file
data/processed/pca/input_output_manifest.tsv	A	processed source data	f06e38fe4a9d6d3873671cb5057044450a970826d580c16faeb906439d6cda83	Curated release-candidate file
data/processed/pca/projection_build_summary.tsv	A	processed source data	9e527ca8d2c0cc0e0f944d391522e569de4af21ddbfbb9ca062f3ef0e26d3ae3	Curated release-candidate file
data/processed/pca/raster_reference_checksums.tsv	A	processed source data	952115a8ab29b3e7e4f58ffb9e225cc62a020de5a68384db4b085de142d29a7f	Curated release-candidate file
data/processed/pca/validation_results.tsv	A	generated validation output	6ba30cbd4ebd688c9917e152a09fcdf806893e2dfbe09e3746862f46a3d9eb7c	Curated release-candidate file
data/processed/readv2/README.md	A	documentation	17853ea3f887d80c1a6925236482947915b6c0aafe82f64921edc39fad60efef	Curated release-candidate file
data/processed/readv2/analysis_summary.tsv	A	processed source data	3c7cfa7a9863f2c98c641156eab5fd2a9e18c6f3c079b73d9c36639295813682	Curated release-candidate file
data/processed/readv2/autosome_1240k_p0_anonymized.tsv	A	processed source data	28cf6fcccb6173f96c89b15bb8416f285d179bc14fc98ff4aba17884389aae58	Curated release-candidate file
data/processed/readv2/focal_results.tsv	A	processed source data	ce21b167632aa94b76ee327324a5800bd2f38b1c7f12aa74333c8985ce4bb4ee	Curated release-candidate file
data/processed/readv2/primary_p0_anonymized.tsv	A	processed source data	51c856f926e07d95cc3462b07d181cdfb8afaeb176e83f9f305d3400581ab32f	Curated release-candidate file
data/processed/readv2/sample_manifest.tsv	A	processed source data	789eb1f29f98ea99a0d9c97d12cf4748aad0a45b58084196e20db981498b1c11	Curated release-candidate file
data/processed/readv2/transversion_only_p0_anonymized.tsv	A	processed source data	048aca5874e6e882faea683eacd556ef1f24b564329670e9beb604edbc3ef4d0	Curated release-candidate file
data/processed/readv2/validation_results.tsv	A	generated validation output	afd5c0dcb6b17454c3b7ac1ed40b61398d8aaae7b09c3da507af419b31a8e4ff	Curated release-candidate file
data/processed/table1/table1_generator_output.csv	A	processed source data	52d4525964901e0af1f998222ce05f6e77ecfe77f6c74774179913ca08dc5a30	Curated release-candidate file
docs/main_output_source_manifest.tsv	A	documentation	5442afcb196c5eb26e5e00abea35a0a339f92a4cba57f67278768b0e86fc20fa	Curated release-candidate file
docs/reproducibility_limitations.md	A	documentation	34dbd1a814dffa9d770b5da628b9869a588d6cbc054ea2a4fb06bbfce6437726	Curated release-candidate file
docs/validation/README.md	A	documentation	ef4bc83d7495d7a09dba07b334c5fc13b5d868b65811d2bf69811552a95e6981	Curated release-candidate file
